Date,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,89941.47780000001,62763.609,103425.9888,78331.197,78151.6338,63458.1965,95979.1675,78397.8138,73137.80249999999,63908.52,64884.6475,99450.886,62478.192,59742.236,79852.98849999999,63952.5898,81997.7248,64237.168,92736.5128,117112.1138,76299.2205,61224.1648,62718.3498,91827.7328,86060.5378,65227.737,61223.1285,108230.8575,90798.1373,93317.427,67224.4108,69569.813,110357.9308,63803.0488,80778.3995,66268.662
2018-01-01 01:00:00,89020.1765,64392.578,100525.233,76157.3945,75951.92,65709.4818,92648.255,75693.768,71889.6305,65519.51,66719.8596,96149.6318,63538.658,60215.2158,76504.9025,65539.1608,79228.354,66055.998,89023.3658,118350.4785,73392.0538,62972.9718,64112.816,87946.31,82158.95880000001,66260.8838,62960.159,106950.1395,88447.5398,91461.0588,68310.7716,69586.84049999999,109052.851,65445.231,77459.9869,67350.3248
2018-01-01 02:00:00,89130.7973,65326.7611,101221.5581,77228.2063,76108.8103,66372.5684,91825.528,75730.7893,73310.8846,66241.6773,67506.9937,96346.2897,65032.5443,62370.4921,76895.5611,66358.1054,79724.6259,67231.93710000001,89399.28510000001,115523.147,74569.42970000001,64105.0667,65480.1621,88272.92679999999,84869.8061,67125.0044,63154.2751,105902.1427,88907.3148,90138.0754,69373.9731,69873.0261,108159.2257,65961.447,78559.4584,68225.24070000001
2018-01-01 03:00:00,84281.0535,67126.5903,91737.5754,76885.5538,75888.9404,70355.15299999999,86288.5425,75386.857,71429.26079999999,68141.2244,69646.3903,90336.5733,66794.0055,60430.9018,75126.1964,68552.6585,78481.5304,68898.8992,84984.5019,102962.1602,73939.7528,63478.7998,65074.059700000005,83248.5682,79632.5017,68908.3968,63157.5579,95783.1537,85147.812,85742.5722,71155.7956,70514.182,96612.3781,67810.88249999999,76772.28540000001,70106.8598
2018-01-01 04:00:00,82262.4039,66034.6298,91192.7092,75611.1389,75670.1034,67267.9169,85356.9306,73738.5337,71394.5777,67496.1238,70458.35699999999,88735.36450000001,64457.7511,62457.3539,73676.8173,67248.9099,76064.72320000001,68054.7922,85014.84539999999,100986.3841,72521.05619999999,63133.3483,65788.4224,82594.0366,77276.2822,68224.6635,62724.013,94343.8121,83810.3263,84025.7237,71498.2985,69880.6425,95371.2905,67517.69780000001,75616.9731,69744.1172
2018-01-01 05:00:00,81328.4129,66111.8994,89768.6448,77003.0301,75855.24149999999,67739.7161,83836.1998,77043.5893,72794.0264,67055.525,68976.6875,86403.86319999999,65101.1959,64354.4515,74668.2349,67622.0181,77821.55960000001,68495.74620000001,82285.6351,102002.449,75970.5443,64731.3687,67148.0659,81889.5117,79199.4157,68101.46190000001,64937.8872,92919.8467,82833.6358,83281.90400000001,72795.54479999999,70781.52660000001,95555.6799,67145.4015,77734.43710000001,70800.2859
2018-01-01 06:00:00,81292.2653,69598.0454,91156.7872,77372.1161,76930.7645,73791.9173,84654.54100000001,75099.16829999999,72199.2629,69189.15149999999,71718.9212,88848.79209999999,67783.7395,67115.8837,75733.01580000001,71112.4582,78060.0296,72142.6369,83254.87090000001,102401.0645,73893.23779999999,66490.6979,70101.3974,81172.0989,78755.3407,69921.3309,64839.134600000005,93490.1468,82980.04920000001,83014.9899,73524.6291,72093.4231,96971.8621,70406.7458,78902.8536,71051.9038
2018-01-01 07:00:00,83128.39060000001,71607.55170000001,95183.3317,83514.0766,79638.2529,73136.4248,87179.141,78069.65719999999,76476.631,70681.5791,72156.3596,93907.596,68986.48969999999,69222.58489999999,79015.2083,71361.6171,81954.7555,76462.8388,86617.3694,105655.754,78042.9706,70010.182,71728.50129999999,84628.2823,81646.4265,74284.5195,66530.3161,97103.496,85362.9207,85264.1508,75453.98139999999,74009.0656,98676.7415,72555.556,81958.91589999999,75993.1171
2018-01-01 08:00:00,86386.5178,74743.55829999999,97310.0384,86931.91189999999,83772.2947,75146.3734,93417.2066,82546.9532,80017.4851,76388.6707,78865.5613,95621.8968,73287.65,72691.5034,82371.4473,76526.8376,84591.33989999999,79007.2737,87609.5381,109545.9581,82183.931,74044.1918,74049.759,91645.0454,86600.0443,76537.6064,72648.8375,101053.6322,91204.3683,91224.6636,78651.09700000001,80942.0253,102598.5138,78737.01659999999,90278.3112,77871.2636
2018-01-01 09:00:00,90522.5904,79794.2559,101491.6338,88848.0778,84033.96590000001,81109.3585,95455.5915,86814.3054,84473.2068,80712.42079999999,81430.61690000001,102032.3698,80127.30040000001,78839.0608,88227.7422,81302.9925,89933.0554,88069.897,94126.5132,113228.1091,85307.8738,78077.4296,81529.8763,95111.491,92095.5948,81864.2119,76795.8824,101898.8031,95352.9841,97078.5797,84874.5844,83743.6927,107112.4627,82733.2327,92815.2278,82424.51740000001
2018-01-01 10:00:00,94610.707,84221.50839999999,106042.7351,97806.0824,94546.64,85983.9006,94992.3562,90866.0872,90609.5993,84130.4324,90438.1213,107552.9813,82036.8449,80579.9364,92656.776,83750.5066,94016.4763,91177.2123,101016.491,115952.6209,90329.9136,83052.4995,83685.41179999999,97798.4312,99490.5832,87756.7018,80671.76139999999,109963.1156,99162.3107,99226.1173,87539.9208,89864.5827,110222.0591,89274.76120000001,94374.4114,85719.25809999999
2018-01-01 11:00:00,96602.4261,83705.7476,114025.9587,100487.0793,90429.0072,88480.17050000001,96471.4706,94235.8982,95554.4545,86898.08200000001,93289.2935,112855.3043,89893.38140000001,88877.8725,91605.2837,87522.2373,100777.5823,92378.529,103780.2243,122571.4953,91956.6225,84059.8095,92941.9952,102076.176,99867.502,91854.8932,82038.64039999999,112015.6535,106416.7684,102739.813,91334.8345,93967.1522,110045.6267,88767.9282,97666.8781,90928.7947
2018-01-01 12:00:00,102027.0779,90982.6861,107038.9528,106231.4099,90852.0443,84695.7176,97956.3697,97281.506,96718.0416,88956.3576,93270.7203,111042.6409,93153.586,86090.5519,92444.4539,89127.0263,100380.5866,95274.8818,104794.5911,122504.0789,95584.0853,86703.9838,95480.378,98302.4066,103432.3232,86416.6296,86394.7978,111599.568,104514.4278,109274.5947,94295.8968,92821.427,108323.6396,88137.1299,95785.1765,93661.1598
2018-01-01 13:00:00,99586.7077,84265.2407,113759.8388,105883.958,92085.3358,89101.7096,98305.749,94274.4837,94731.1769,88381.9865,95649.1698,115355.2215,86381.8094,90047.29179999999,92371.7223,91160.5104,102810.401,91940.7696,104833.855,119285.5488,94033.7557,90507.9735,96211.7035,102846.4125,101366.4801,90368.6074,92195.1669,115048.6358,105898.278,107214.3721,98062.0741,94510.7884,109068.5674,92645.3276,92979.4337,94087.589
2018-01-01 14:00:00,100215.0874,87817.2976,109901.5768,102480.4267,94628.0539,87621.3049,96307.3425,93489.4773,95141.7797,87120.7967,97304.4328,113334.7434,89184.00349999999,88658.9497,93417.5606,89546.61110000001,99099.7915,92453.6961,106958.7127,116773.5042,94434.3314,84888.4445,90562.9487,99898.5411,104304.2948,88318.8447,86014.5675,108264.5699,103738.894,104395.5139,92954.3251,92377.7182,108723.3738,87262.5048,94295.9593,93233.6722
2018-01-01 15:00:00,102460.587,86983.3928,109155.9389,100376.7214,95864.8177,94239.7857,99255.5092,97669.7359,97080.1546,88863.9025,94704.6425,113259.7813,86654.0477,90861.3969,96493.8372,93164.4741,102751.5076,97438.7178,106395.2941,121001.4916,95064.4724,86911.9314,92306.6553,100479.5003,104341.457,92123.0397,85339.5864,109583.3561,107086.6527,105109.773,95293.3166,96750.8607,107796.2857,90815.027,98032.0491,93249.7371
2018-01-01 16:00:00,101722.5833,96049.4199,113486.6715,107496.532,98541.7318,99512.4039,105968.1775,101348.8424,100646.3748,95572.2755,97129.5669,117268.0068,93935.2486,95374.3575,102198.6747,98525.5457,107035.4765,104005.4578,110726.9193,123755.1896,102081.228,94201.4482,98135.6026,110006.6162,105460.4066,96666.532,91174.0074,116008.7542,108348.6402,109599.5093,102423.1257,99842.6671,113374.9804,94409.5042,101078.0523,97387.2587
2018-01-01 17:00:00,103150.1236,94355.2961,114038.6275,103699.4371,104755.5791,99149.2402,105129.4296,101071.1605,98411.0036,95057.0949,96776.3112,118793.6045,93888.384,92098.7475,104307.9332,96885.3873,109344.6194,98230.7896,109159.8818,124345.7312,103246.8727,95227.5808,94377.3112,106323.0074,111112.1114,96552.9307,88946.883,115611.8272,110337.9914,109096.0661,100954.9626,97752.4185,113847.9324,94836.4594,103724.6346,96838.7841
2018-01-01 18:00:00,103689.4691,96394.8914,120049.9501,106633.8413,103543.5652,105264.9724,108058.1913,103983.2889,100805.2871,95082.1805,97937.8157,118849.2397,94849.6246,93709.8385,101308.8254,98300.804,108107.0569,101248.4449,109468.0856,128930.6967,106746.9038,94605.9236,100051.116,112497.2889,111418.8546,99056.0842,90536.5322,117849.2569,113313.1407,115559.5141,101839.0486,103112.5945,118144.1876,97151.8768,105202.4171,98774.92
2018-01-01 19:00:00,94084.8053,90983.2605,108806.9084,97369.0682,93338.8228,93215.2153,99668.1353,96427.4718,89650.1151,88306.2257,92602.0511,111476.9602,89401.43900000001,85975.8243,94879.3453,90907.4987,101637.2479,94162.5707,103724.4214,119238.2428,95917.6821,86848.0176,88926.1536,101919.4887,103677.9214,90080.8433,86173.3217,110859.068,106156.6387,108202.5003,92999.8441,93554.971,110550.1576,89645.34449999999,95450.7413,88116.68909999999
